title,price_gbp,rating,availability,category,in_stock,price_inr
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Sequential_art,True,1717.5400000000002
This One Summer,19.49,4,In stock,Sequential_art,True,2056.1949999999997
The Nameless City (The Nameless City #1),38.16,4,In stock,Sequential_art,True,4025.8799999999997
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,Sequential_art,True,5384.72
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,Sequential_art,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,Sequential_art,True,1435.855
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,Sequential_art,True,2001.3349999999998
Patience,10.16,3,In stock,Sequential_art,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,Sequential_art,True,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,Sequential_art,True,5107.254999999999
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,Sequential_art,True,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,Sequential_art,True,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,Sequential_art,True,2101.5600000000004
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,Sequential_art,True,3077.4350000000004
I am a Hero Omnibus Volume 1,54.63,3,In stock,Sequential_art,True,5763.465
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,Sequential_art,True,2332.605
Danganronpa Volume 1,51.99,4,In stock,Sequential_art,True,5484.945000000001
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,Sequential_art,True,3873.96
Camp Midnight,17.08,4,In stock,Sequential_art,True,1801.9399999999998
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,Sequential_art,True,4000.5600000000004
The Shadow Hero (The Shadow Hero),33.14,1,In stock,Sequential_art,True,3496.27
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,In stock,Sequential_art,True,4390.91
Batman: The Long Halloween (Batman),36.5,2,In stock,Sequential_art,True,3850.75
Batman: The Dark Knight Returns (Batman),15.38,5,In stock,Sequential_art,True,1622.5900000000001
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,In stock,Sequential_art,True,3939.3700000000003
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,In stock,Sequential_art,True,5686.45
Through the Woods,25.38,2,In stock,Sequential_art,True,2677.5899999999997
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,Sequential_art,True,1254.395
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock,Sequential_art,True,3737.865
Robin War,47.82,3,In stock,Sequential_art,True,5045.01
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock,Sequential_art,True,2688.14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock,Sequential_art,True,4050.145
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock,Sequential_art,True,5434.304999999999
El Deafo,57.62,5,In stock,Sequential_art,True,6078.91
Batman: Europa,32.01,2,In stock,Sequential_art,True,3377.055
Art Ops Vol. 1,48.8,3,In stock,Sequential_art,True,5148.4
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,In stock,Sequential_art,True,1149.95
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,In stock,Sequential_art,True,3581.7250000000004
Roller Girl,14.1,5,In stock,Sequential_art,True,1487.55
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,In stock,Sequential_art,True,2064.635
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,In stock,Sequential_art,True,2211.28
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,In stock,Sequential_art,True,3839.145
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,In stock,Sequential_art,True,1722.8149999999998
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,In stock,Sequential_art,True,5529.254999999999
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,In stock,Sequential_art,True,2941.3399999999997
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,In stock,Sequential_art,True,5321.42
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,In stock,Sequential_art,True,1520.255
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,In stock,Sequential_art,True,5860.525
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,In stock,Sequential_art,True,2275.635
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,In stock,Sequential_art,True,4602.965
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,In stock,Sequential_art,True,4128.215
Original Fake,31.45,3,In stock,Sequential_art,True,3317.975
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,In stock,Sequential_art,True,4506.96
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,In stock,Sequential_art,True,4765.435
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,In stock,Sequential_art,True,5202.205
Awkward,38.02,2,In stock,Sequential_art,True,4011.11
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,In stock,Sequential_art,True,5782.455
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,In stock,Sequential_art,True,1239.625
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,In stock,Sequential_art,True,1228.02
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,In stock,Sequential_art,True,1952.805
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,In stock,Sequential_art,True,3852.86
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,In stock,Sequential_art,True,5709.66
The Complete Maus (Maus #1-2),10.64,3,In stock,Sequential_art,True,1122.52
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,In stock,Sequential_art,True,4443.66
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,In stock,Sequential_art,True,3004.64
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,In stock,Sequential_art,True,4954.28
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,In stock,Sequential_art,True,2290.405
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,In stock,Sequential_art,True,3151.2850000000003
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,In stock,Sequential_art,True,4155.645
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,In stock,Sequential_art,True,4772.820000000001
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,In stock,Sequential_art,True,5988.179999999999
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,In stock,Sequential_art,True,4249.54
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,In stock,Sequential_art,True,3655.575
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,In stock,Sequential_art,True,6019.83
